Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
54.55,11.96,2.34,8.13,162.66998,12.41237136,2.354238571,5.983490137,152.0174464,12.57009807,2.365637562,6.798410977,145.1487089,11.45412733,2.341580773,8.526660942,162.9070087
54.6,12.11,2.35,8.27,162.89001,12.52094525,2.360259836,6.028222439,152.2194586,12.62970645,2.367186062,6.849345852,145.3675495,11.60200051,2.351954641,8.673474863,163.1243849
54.65,12.45,2.35,8.48,162.45,12.7977687,2.360168346,6.187242489,151.8905668,12.79348635,2.367846491,6.975601463,145.2889257,11.9441009,2.351976103,8.853604434,162.7009429
54.7,12.98,2.36,8.15,161.55998,13.22761136,2.366829479,6.000751964,151.1723261,13.09672153,2.369953281,6.913381224,144.9587292,12.48064627,2.362275737,8.52861709,161.8160248
54.75,13.71,2.36,7.73,161.12,13.82563148,2.367449887,5.799718144,150.8241337,13.62567254,2.371511261,6.724260735,144.7212831,13.22166223,2.362284081,8.080588303,161.3944634
54.8,14.53,2.36,7.1799994,161.78,14.48335549,2.367999766,5.480093535,151.3398988,14.33359775,2.372661454,6.463660258,144.8754894,14.05232286,2.362332881,7.545662358,162.0508344
54.85,15.33,2.36,7.1799994,162.89001,15.11121789,2.368195064,5.488746157,152.2182889,15.07368722,2.373404695,6.39715643,145.2795814,14.85880491,2.362449773,7.57249896,163.1542985
54.9,16.04,2.3700001,6.67,163.56,15.66451992,2.374493805,5.119209205,152.7407259,15.70387383,2.375419527,6.250924976,145.6156626,15.57146996,2.372869903,7.086740688,163.8191995
54.95,16.66,2.3700001,6.1699996,163.77998,16.15604729,2.374623548,4.790367915,152.9270458,16.23217597,2.376672126,6.048732819,145.7900354,16.19594751,2.372979652,6.570190448,164.0531543
55,17.26,2.3800004,5.77,163.77998,16.63109711,2.38132844,4.535075296,152.9251292,16.69232026,2.379104191,5.859544949,145.8315676,16.80232123,2.383362398,6.185860126,164.0538517
55.05,17.95,2.3800004,5.9900002,163.77998,17.18581952,2.381654749,4.734488487,152.928526,17.2448359,2.380727425,5.882167775,145.8377446,17.49958423,2.383423515,6.388851484,164.0694631
55.1,18.65,2.3800004,6.35,163.77998,17.74373577,2.381860662,5.019690167,152.8978206,17.78193613,2.381651678,6.070715521,145.8255975,18.20559701,2.383463135,6.772056465,164.0692201
55.15,19.3,2.39,6.47,163.77998,18.26139057,2.388480839,5.13791765,152.857096,18.26528976,2.383849759,6.241059488,145.8051452,18.86060734,2.393798417,6.914056429,164.0690222
