Depth,Dense,Res,Ng,Cal,SP
67.2,2.28,10.77,11.08,157.44,-221.47
67.25,2.29,11.18,10.73,156.24,-221.44
67.3,2.3,11.72,10.56,155.41,-221.18
67.35,2.31,12.37,10.66,154.91,-220.79
67.4,2.32,13.11,10.84,154.47,-220.49
67.45,2.32,13.84,10.7,154.02,-220.39
67.5,2.33,14.51,11.11,153.35,-220.52
67.55,2.33,15.11,11.56,152.68,-220.88
67.6,2.33,15.65,12.13,152.01,-221.48
67.65,2.33,16.15,12.14,151.53,-222.31
67.7,2.32,16.58,12.06,151.07,-223.3
67.75,2.32,16.9,12.04,150.66,-224.37
67.8,2.32,17.13,12.22,150.27,-225.4
67.85,2.32,17.24,12.45,150.02,-226.3
67.9,2.32,17.28,12.73,149.93,-226.92
67.95,2.33,17.29,12.44,150,-227.18
68,2.34,17.31,12.03,150.09,-227.09
68.05,2.35,17.38,11.89,150.16,-226.71
68.1,2.36,17.41,11.59,150.19,-226.03
68.15,2.37,17.34,11.3,150.3,-225.09
68.2,2.37,17.02,10.78,150.55,-223.93
68.25,2.37,16.45,10.81,151.07,-222.8
68.3,2.36,15.67,10.92,151.71,-221.92
68.35,2.36,14.8,10.95,152.43,-221.51
68.4,2.35,13.94,10.97,153.37,-221.57
68.45,2.34,13.21,10.38,154.54,-222
68.5,2.33,12.71,9.87,155.85,-222.68
68.55,2.31,12.56,9.25,156.88,-223.48
68.6,2.29,12.66,9.42,157.57,-224.37
68.65,2.26,12.9,9.54,157.96,-225.38
68.7,2.25,13.05,9.99,158.13,-226.56
68.75,2.23,13.02,10.51,158.02,-227.85
68.8,2.23,12.81,11.1,157.55,-229.05
68.85,2.22,12.52,11.32,156.76,-229.84
68.9,2.22,12.2,11.08,155.89,-230.03
68.95,2.21,11.96,10.68,155.2,-229.64
69,2.21,11.84,10.35,154.71,-228.9
69.05,2.21,11.89,10.21,154.39,-227.94
69.1,2.21,12.09,10.11,154.14,-226.79
69.15,2.22,12.36,9.46,153.94,-225.36
69.2,2.22,12.61,8.72,153.76,-223.63
69.25,2.23,12.76,7.84,153.5,-221.83
69.3,2.23,12.73,7.31,153.24,-220.34
69.35,2.24,12.54,6.83,153,-219.51
69.4,2.25,12.21,7.03,152.77,-219.62
69.45,2.26,11.88,7.57,152.45,-220.65
69.5,2.27,11.57,8.32,152.03,-222.53
69.55,2.29,11.33,8.78,151.62,-224.9
69.6,2.3,11.17,9.02,151.27,-227.35
69.65,2.32,11.05,9.16,150.99,-229.37
69.7,2.34,10.98,9.24,150.77,-230.51
69.75,2.35,10.93,10.08,150.63,-230.63
69.8,2.36,10.99,11.06,150.51,-229.82
69.85,2.38,11.21,12.23,150.37,-228.59
69.9,2.38,11.61,12.86,150.19,-227.41
69.95,2.39,12.17,13.42,149.99,-226.66
70,2.39,12.9,13.66,149.82,-226.46
70.05,2.39,13.73,13.81,149.66,-226.75
70.1,2.39,14.54,13.89,149.55,-227.36
70.15,2.4,15.24,13.94,149.41,-228.15
70.2,2.4,15.77,14.37,149.31,-228.87
70.25,2.4,16.15,14.86,149.27,-229.36
70.3,2.39,16.34,15.85,149.37,-229.4
70.35,2.39,16.39,16.54,149.6,-228.9
70.4,2.39,16.32,16.68,149.89,-227.81
70.45,2.38,16.18,16.24,150.09,-226.29
70.5,2.38,16.02,15.58,150.27,-224.59
70.55,2.38,15.81,15.57,150.48,-223.11
70.6,2.37,15.54,15.03,150.87,-222.24
70.65,2.37,15.26,14.52,151.35,-222.27
70.7,2.36,15.08,13.71,152.01,-223.16
70.75,2.36,15,13.45,152.81,-224.27
70.8,2.36,14.97,13.23,153.77,-224.84
70.85,2.35,14.93,13.14,154.7,-224.19
70.9,2.35,14.83,12.67,155.43,-222.48
70.95,2.35,14.69,12.16,155.81,-220.22
71,2.34,14.55,11.97,155.76,-218.31
71.05,2.34,14.42,12.23,155.43,-217.37
71.1,2.34,14.36,12.24,154.96,-217.8
71.15,2.34,14.34,11.69,154.49,-219.61
71.2,2.35,14.38,10.99,153.9,-222.48
71.25,2.36,14.44,10.54,153.24,-225.78
71.3,2.37,14.51,10.5,152.59,-228.69
71.35,2.37,14.56,10.61,152.15,-230.46
71.4,2.38,14.6,10.62,151.85,-230.78
71.45,2.38,14.6,10.25,151.65,-229.77
71.5,2.38,14.59,9.77,151.51,-227.93
71.55,2.38,14.53,9.4,151.35,-225.69
71.6,2.37,14.42,9.04,151.25,-223.48
71.65,2.38,14.21,8.69,151.2,-221.55
71.7,2.38,13.93,8.55,151.3,-220.15
71.75,2.38,13.58,8.45,151.4,-219.36
71.8,2.39,13.22,8.4,151.53,-219.2
71.85,2.39,12.85,8.17,151.61,-219.49
71.9,2.38,12.53,8.11,151.7,-220.01
71.95,2.38,12.26,8.26,151.78,-220.49
72,2.37,12.06,8.47,151.95,-220.86
72.05,2.36,11.96,8.75,152.18,-221.25
72.1,2.35,12.01,9.04,152.43,-221.94
72.15,2.34,12.26,9.76,152.71,-223.11
72.2,2.34,12.63,10.56,153.04,-224.77
72.25,2.34,13.16,11.26,153.38,-226.55
72.3,2.34,13.77,11.77,153.69,-227.91
