Depth,Den,Cal,SP,Res,Ng
128.35,0,197.08,-556.98,12.75,9.45
128.4,0,196.64,-557.41,13.83,9.33
128.45,0,196.41,-557.8,15.19,8.96
128.5,0,195.75,-558.14,16.61,8.66
128.55,0,195.3,-558.41,17.86,8.72
128.6,0,194.86,-558.62,18.71,9.48
128.65,0,194.42,-558.78,19.19,10.24
128.7,0,194.19,-558.9,19.36,11.14
128.75,0,194.19,-558.98,19.39,11.48
128.8,0,193.97,-559.03,19.35,11.52
128.85,0,193.97,-559.06,19.33,11.4
128.9,0,193.53,-559.07,19.33,11.39
128.95,0,193.31,-559.04,19.38,11.76
129,0,193.31,-559,19.43,12.23
129.05,0,193.31,-558.92,19.48,12.6
129.1,0,193.08,-558.82,19.49,12.57
129.15,0,193.08,-558.71,19.41,11.83
129.2,0,193.08,-558.58,19.2,10.88
129.25,0,193.08,-558.45,18.81,9.54
129.3,0,193.08,-558.32,18.31,8.48
129.35,0,193.53,-558.2,17.78,7.41
129.4,0,193.75,-558.09,17.27,6.78
129.45,0,194.19,-558,16.8,5.84
129.5,0,194.64,-557.94,16.38,4.92
129.55,0,195.08,-557.9,16.05,3.75
129.6,0,195.53,-557.87,15.83,2.94
129.65,0,195.97,-557.87,15.71,2.14
129.7,0,196.19,-557.86,15.67,1.61
129.75,0,196.41,-557.85,15.7,1.35
129.8,0,196.19,-557.83,15.82,1.59
129.85,0,196.19,-557.77,16.04,1.99
129.9,0,195.75,-557.67,16.32,2.72
129.95,0,195.75,-557.54,16.58,3.14
130,0,195.75,-557.38,16.67,3.57
130.05,0,195.75,-557.21,16.5,3.94
130.1,0,195.75,-557.04,16,4.3
130.15,0,195.75,-556.89,15.23,4.65
130.2,0,195.75,-556.75,14.43,4.99
130.25,0,195.08,-556.64,13.76,5.33
130.3,0,193.97,-556.54,13.39,5.66
130.35,0,193.31,-556.46,13.2,5.8
