Depth,Den,Ng,Cal,SP,Res
70.85,2.11,9.6,192.42,-144.76,14.87
70.9,2.11,9.57,191.09,-148.29,14.44
70.95,2.11,9.43,190.2,-151.82,13.91
71,2.11,9,190.2,-155.2,13.24
71.05,2.12,8.69,190.2,-158.41,12.57
71.1,2.12,8.34,190.2,-161.42,11.99
71.15,2.13,8.21,189.98,-164.2,11.61
71.2,2.14,8.11,189.31,-166.61,11.47
71.25,2.15,7.46,189.31,-168.55,11.6
71.3,2.17,6.51,189.98,-169.96,11.92
71.35,2.17,5.4,191.09,-170.9,12.42
71.4,2.18,4.58,191.75,-171.48,13.01
71.45,2.18,4.2,191.53,-171.89,14.1
71.5,2.17,3.56,190.64,-172.25,15.33
71.55,2.16,3.15,190.2,-172.53,16.25
71.6,2.15,2.54,190.2,-172.46,16.73
71.65,2.14,2.54,190.2,-171.74,17.05
71.7,2.13,2.62,190.2,-170.16,17.68
71.75,2.12,2.83,190.2,-167.84,18.12
71.8,2.11,2.89,190.42,-165.05,18.28
71.85,2.1,2.94,190.86,-162.32,18.06
71.9,2.09,3.17,192.2,-160.04,17.62
71.95,2.08,3.22,195.3,-158.42,17.03
72,2.07,3.28,196.41,-157.31,16.41
72.05,2.07,3.1,195.3,-156.4,15.78
72.1,2.08,3.28,193.31,-155.34,15.21
72.15,2.09,3.68,193.53,-153.99,14.72
72.2,2.09,4.19,194.86,-152.38,14.29
72.25,2.1,4.37,191.75,-150.72,13.92
72.3,2.11,4.51,188.2,-149.25,13.57
72.35,2.11,4.58,186.42,-148.15,13.29
72.4,2.12,5.02,186.65,-147.45,13.08
72.45,2.12,5.12,186.87,-147.08,12.93
72.5,2.13,5.23,187.09,-147.01,12.81
72.55,2.13,5.27,187.53,-147.25,12.69
72.6,2.13,5.3,187.76,-147.84,12.56
72.65,2.14,5.51,187.98,-148.72,12.42
72.7,2.14,5.56,187.98,-149.74,12.3
72.75,2.14,5.62,187.98,-150.64,12.24
72.8,2.14,5.44,187.76,-151.27,12.22
72.85,2.14,5.21,187.53,-151.52,12.22
72.9,2.15,4.93,187.09,-151.47,12.21
72.95,2.16,4.43,187.53,-151.13,12.18
73,2.17,4.27,187.98,-150.54,12.13
73.05,2.17,4.34,187.53,-149.65,12.1
73.1,2.16,4.52,185.98,-148.66,12.11
73.15,2.16,4.77,185.31,-147.99,12.17
73.2,2.15,4.86,184.2,-148.66,12.26
73.25,2.14,5.13,183.32,-151.4,12.36
73.3,2.14,5,182.87,-156.76,12.43
73.35,2.15,5.03,182.87,-164.17,12.46
73.4,2.15,5,182.87,-172.82,12.46
73.45,2.14,5.21,183.09,-181.47,12.41
73.5,2.14,5.64,183.76,-189.29,12.36
73.55,2.14,6.17,185.54,-195.97,12.34
73.6,2.14,6.56,187.09,-201.67,12.44
73.65,2.15,6.95,188.2,-206.86,12.65
73.7,2.16,7.1,188.2,-211.5,12.94
73.75,2.17,7.01,187.98,-215.3,13.25
73.8,2.16,6.62,187.98,-217.51,13.52
73.85,2.15,7.13,187.76,-217.4,13.71
73.9,2.14,7.95,186.65,-214.41,13.81
73.95,2.13,9.02,184.43,-208.7,13.9
74,2.13,9.39,182.65,-201.39,14.05
74.05,2.13,9.68,180.65,-194.07,14.28
74.1,2.12,9.62,179.99,-188.33,14.59
74.15,2.12,9.46,180.21,-184.95,15.06
74.2,2.12,9.02,181.54,-184.26,15.74
74.25,2.11,8.5,183.09,-185.87,16.57
74.3,2.1,7.9,185.54,-189.27,17.34
74.35,2.1,7.48,186.87,-193.47,17.76
74.4,2.11,6.68,187.09,-197.64,17.64
74.45,2.12,5.83,186.87,-201.15,17.01
74.5,2.12,4.9,186.87,-203.9,16.15
74.55,2.13,4.75,186.87,-206.03,15.37
74.6,2.13,4.93,185.76,-207.76,14.81
74.65,2.14,5.34,184.2,-209.11,14.44
74.7,2.14,5.65,182.87,-209.92,14.17
74.75,2.15,6,182.65,-209.81,13.91
74.8,2.15,6.33,182.43,-208.53,13.63
74.85,2.15,7.07,182.21,-205.93,13.3
74.9,2.16,7.68,181.54,-202.26,12.96
74.95,2.16,8.35,181.54,-197.66,12.67
75,2.16,8.81,181.76,-192.45,12.44
75.05,2.15,9.23,181.98,-186.71,12.26
75.1,2.15,9.61,181.98,-180.7,12.15
75.15,2.13,9.77,181.98,-174.64,12.14
75.2,2.12,9.88,181.98,-168.81,12.22
75.25,2.1,9.93,182.21,-163.48,12.45
75.3,2.1,9.96,182.87,-158.79,12.81
75.35,2.09,10.38,183.98,-154.75,13.25
75.4,2.08,10.87,185.54,-151.27,13.66
75.45,2.08,11.25,187.76,-148.2,13.96
75.5,2.08,11.02,188.42,-145.44,14.14
75.55,2.09,10.66,187.98,-142.9,14.21
75.6,2.09,10.34,186.42,-140.53,14.28
75.65,2.09,10,185.31,-138.36,14.41
75.7,2.1,9.87,184.87,-136.41,14.67
75.75,2.11,9.77,184.43,-134.72,15.01
75.8,2.11,10.13,184.43,-133.28,15.36
75.85,2.12,10.18,185.76,-132.1,15.62
75.9,2.12,10.06,187.09,-131.33,15.8
75.95,2.12,9.65,187.53,-131.01,15.93
76,2.12,9.74,187.76,-131.17,16.07
76.05,2.12,10.08,187.76,-131.57,16.25
76.1,2.13,10.56,187.53,-132,16.46
76.15,2.13,10.73,187.09,-132.17,16.61
76.2,2.14,10.66,186.65,-131.95,16.73
76.25,2.14,9.88,186.65,-131.25,16.88
76.3,2.15,8.91,186.65,-130.15,17.08
76.35,2.15,7.56,186.87,-128.72,17.27
76.4,2.16,6.89,187.09,-127.06,17.41
76.45,2.16,6.29,187.53,-125.24,17.49
76.5,2.17,6.24,187.76,-123.24,17.53
76.55,2.18,5.91,187.98,-121.04,17.46
76.6,2.18,5.63,188.2,-118.62,17.27
76.65,2.19,5.51,188.42,-116.06,16.97
76.7,2.18,5.83,188.87,-113.56,16.68
76.75,2.18,6.47,189.53,-111.4,16.44
76.8,2.18,7.06,189.75,-109.82,16.32
76.85,2.17,7.71,189.53,-109.03,16.26
76.9,2.17,8.35,189.31,-109.15,16.2
76.95,2.17,9.41,189.09,-110.38,16.03
77,2.16,10.35,188.87,-112.72,15.71
77.05,2.14,11.35,188.87,-116.26,15.18
77.1,2.13,11.74,189.09,-120.83,14.51
77.15,2.12,12.02,189.53,-126.26,13.78
77.2,2.11,11.95,189.98,-132.06,13.14
77.25,2.1,11.99,188.64,-137.51,12.69
77.3,2.1,11.99,186.42,-141.94,12.42
77.35,2.09,12,185.76,-145.06,12.3
77.4,2.08,12.2,185.76,-147.28,12.24
77.45,2.08,12.24,185.98,-149.21,12.13
77.5,2.08,12.29,186.2,-151.52,11.97
77.55,2.08,11.51,185.76,-154.35,11.69
77.6,2.09,10.56,185.54,-157.6,11.36
77.65,2.09,9.41,185.76,-160.8,11
77.7,2.1,8.79,186.65,-163.56,10.72
77.75,2.1,8.24,187.76,-165.58,10.58
77.8,2.1,7.41,189.31,-166.72,10.63
77.85,2.1,6.53,189.09,-167.03,10.84
77.9,2.1,5.79,187.53,-166.55,11.18
77.95,2.1,5.26,185.54,-165.47,11.6
