Depth,Den,Ng,SP,Res,Cal
124.95,0,5.34,-557.24,15.27,210.84
125,0,5.69,-557.29,15.56,211.29
125.05,0,6.01,-557.32,15.81,211.51
125.1,0,6.34,-557.33,15.99,211.51
125.15,0,6.47,-557.32,16.06,211.73
125.2,0,6.56,-557.3,16.03,211.73
125.25,0,6.61,-557.26,15.94,211.51
125.3,0,6.63,-557.22,15.81,211.07
125.35,0,6.65,-557.17,15.69,210.84
125.4,0,6.66,-557.12,15.56,210.62
125.45,0,6.46,-557.06,15.42,210.4
125.5,0,6.22,-557,15.26,209.51
125.55,0,6.14,-556.94,15.11,208.18
125.6,0,5.87,-556.87,14.98,206.63
125.65,0,5.6,-556.81,14.89,206.18
125.7,0,6.1,-556.75,14.75,205.74
125.75,0,6.74,-556.69,14.61,205.29
125.8,0,7.57,-556.63,14.46,205.07
125.85,0,7.66,-556.58,14.32,205.07
125.9,0,7.85,-556.52,14.22,205.29
125.95,0,8.3,-556.47,14.16,205.74
126,0,8.83,-556.41,14.16,206.4
126.05,0,9.43,-556.37,14.17,207.74
126.1,0,9.65,-556.34,14.13,208.85
126.15,0,9.82,-556.35,13.99,210.4
126.2,0,9.69,-556.38,13.74,211.95
126.25,0,9.5,-556.45,13.53,212.84
126.3,0,8.44,-556.53,13.48,211.73
126.35,0,7.39,-556.6,13.69,210.4
126.4,0,6.17,-556.66,14.17,210.4
126.45,0,6.11,-556.68,14.78,210.84
126.5,0,6.66,-556.66,15.4,211.95
126.55,0,7.15,-556.6,15.86,212.84
126.6,0,7.36,-556.5,16.11,213.29
126.65,0,7.1,-556.37,16.04,214.17
126.7,0,7.29,-556.22,15.7,215.73
126.75,0,7.48,-556.06,15.14,219.28
126.8,0,7.95,-555.9,14.5,222.61
126.85,0,8.49,-555.74,13.91,225.05
126.9,0,9.09,-555.6,13.45,223.94
126.95,0,9.92,-555.47,13.09,221.94
127,0,10.6,-555.35,12.8,221.28
127.05,0,11.3,-555.24,12.53,220.83
127.1,0,11.38,-555.15,12.27,221.06
127.15,0,11.54,-555.07,12.06,221.5
127.2,0,11.58,-555,11.9,221.06
127.25,0,11.62,-554.93,11.79,220.83
127.3,0,11.24,-554.88,11.67,220.61
127.35,0,10.77,-554.83,11.54,221.94
127.4,0,10.4,-554.8,11.42,221.94
127.45,0,10.24,-554.77,11.31,220.61
127.5,0,10.13,-554.75,11.23,219.72
127.55,0,10.07,-554.75,11.13,221.28
127.6,0,10.44,-554.74,11.06,222.83
127.65,0,10.7,-554.74,11.03,223.28
127.7,0,11.03,-554.74,11.06,223.5
127.75,0,10.95,-554.73,11.1,225.72
127.8,0,11.4,-554.73,11.14,227.27
127.85,0,11.87,-554.73,11.13,223.28
127.9,0,12.45,-554.75,11.08,217.95
127.95,0,12.46,-554.79,10.99,212.62
128,0,12.18,-554.86,10.9,209.29
128.05,0,11.73,-554.99,10.86,204.85
128.1,0,11.38,-555.17,10.9,202.85
128.15,0,10.62,-555.42,11.02,200.63
128.2,0,9.8,-555.74,11.22,198.86
128.25,0,9.09,-556.12,11.51,198.19
128.3,0,9.18,-556.54,12,197.52
128.35,0,9.45,-556.98,12.75,197.08
128.4,0,9.33,-557.41,13.83,196.64
128.45,0,8.96,-557.8,15.19,196.41
128.5,0,8.66,-558.14,16.61,195.75
128.55,0,8.72,-558.41,17.86,195.3
128.6,0,9.48,-558.62,18.71,194.86
128.65,0,10.24,-558.78,19.19,194.42
128.7,0,11.14,-558.9,19.36,194.19
128.75,0,11.48,-558.98,19.39,194.19
128.8,0,11.52,-559.03,19.35,193.97
128.85,0,11.4,-559.06,19.33,193.97
