Depth,Den,Ng,Cal,SP,Res
71.25,2.46,16.93,142.23,-133.44,22.99
71.3,2.46,17.42,142.88,-133.58,22.95
71.35,2.44,17.67,143.79,-133.6,22.95
71.4,2.43,17.82,144.77,-133.49,22.96
71.45,2.42,17.5,145.41,-133.28,22.99
71.5,2.42,17.06,145.69,-132.96,23.06
71.55,2.41,16.51,145.57,-132.47,23.25
71.6,2.41,16.32,145.11,-131.68,23.49
71.65,2.41,16.57,144.42,-130.54,23.7
71.7,2.41,16.98,143.74,-129.15,23.83
71.75,2.41,17.31,143.25,-127.71,23.86
71.8,2.41,16.66,142.92,-126.39,23.79
71.85,2.41,15.79,142.76,-125.22,23.55
71.9,2.42,15.29,142.89,-124.07,23.16
71.95,2.44,15.62,143.19,-122.75,22.62
72,2.45,16.18,143.58,-121.25,21.95
72.05,2.46,16.76,143.81,-119.76,21.25
72.1,2.47,17.39,143.93,-118.55,20.6
72.15,2.48,18.03,143.96,-117.76,20.1
72.2,2.49,18.68,144.08,-117.36,19.84
72.25,2.49,18.94,144.47,-117.22,19.85
72.3,2.48,19.13,145.23,-117.34,20.22
72.35,2.48,18.81,146.13,-117.75,20.8
72.4,2.48,18.59,146.51,-118.55,21.53
72.45,2.49,18.28,146.1,-119.68,22.35
72.5,2.48,17.77,145.29,-120.93,23.19
72.55,2.48,16.81,144.47,-121.92,24
72.6,2.48,15.72,143.61,-122.34,24.61
72.65,2.48,14.71,142.52,-122.1,25.02
72.7,2.49,13.48,141.29,-121.4,25.34
72.75,2.49,12.24,139.76,-120.63,25.73
72.8,2.49,10.94,137.87,-120.05,26.21
72.85,2.48,10.04,135.68,-119.78,26.71
72.9,2.48,9.2,133.89,-119.78,27.02
72.95,2.48,8.65,132.78,-120.03,27.11
73,2.49,8.57,132.38,-120.48,26.96
73.05,2.49,8.64,132.3,-121.14,26.79
73.1,2.48,9.24,132.16,-121.97,26.67
73.15,2.48,9.98,131.94,-122.87,26.57
73.2,2.47,10.84,131.73,-123.75,26.46
73.25,2.46,11.16,131.73,-124.44,26.29
73.3,2.44,11.6,131.96,-124.85,26.11
73.35,2.44,11.95,132.31,-124.92,25.92
73.4,2.43,12.51,132.74,-124.68,25.7
73.45,2.43,12.69,133.12,-124.2,25.47
73.5,2.43,12.64,133.64,-123.56,25.22
73.55,2.44,12.67,134.22,-122.81,24.95
73.6,2.44,12.66,134.92,-121.98,24.72
73.65,2.43,13.07,135.58,-121.13,24.57
73.7,2.43,13.15,136.3,-120.39,24.57
73.75,2.43,13.24,137.19,-119.81,24.66
73.8,2.43,13.28,138.18,-119.35,24.72
73.85,2.44,13.9,139.05,-118.69,24.68
73.9,2.45,14.64,139.64,-117.62,24.51
73.95,2.46,15.31,139.98,-116.13,24.36
74,2.47,15.79,140.07,-114.57,24.31
74.05,2.47,16.22,139.85,-113.38,24.36
74.1,2.47,17,139.47,-112.77,24.37
74.15,2.47,17.44,139.17,-112.68,24.28
74.2,2.48,17.89,139.12,-112.9,24.14
74.25,2.49,17.47,139.14,-113.33,24.01
74.3,2.49,17.27,139.09,-113.9,23.93
74.35,2.49,16.95,138.95,-114.61,23.84
74.4,2.49,16.64,138.82,-115.42,23.75
74.45,2.48,15.92,138.82,-116.32,23.68
74.5,2.46,15.11,138.83,-117.24,23.65
74.55,2.45,14.41,138.93,-118.18,23.69
74.6,2.43,13.9,138.99,-119.07,23.74
74.65,2.42,13.26,139.07,-119.87,23.77
74.7,2.4,12.83,139.1,-120.51,23.79
74.75,2.38,12.42,139.07,-120.99,23.76
74.8,2.37,12.45,138.98,-121.24,23.65
74.85,2.37,12.77,138.87,-121.26,23.38
74.9,2.37,13.65,138.74,-121,23.03
74.95,2.37,14.48,138.65,-120.44,22.72
75,2.38,15.83,138.56,-119.54,22.58
75.05,2.38,16.86,138.57,-118.36,22.56
75.1,2.39,17.94,138.64,-117.07,22.56
75.15,2.4,18.16,138.79,-115.99,22.52
75.2,2.41,18.22,138.97,-115.43,22.55
75.25,2.43,18.08,139.17,-115.56,22.84
75.3,2.45,17.86,139.33,-116.21,23.41
75.35,2.47,17.99,139.45,-117.14,24.08
75.4,2.48,18.17,139.5,-118,24.7
75.45,2.49,18.83,139.58,-118.62,25.16
75.5,2.49,18.8,139.7,-118.86,25.54
75.55,2.49,18.73,139.96,-118.73,25.81
75.6,2.5,18.11,140.48,-118.16,25.99
75.65,2.5,18.17,141.39,-117.28,26.06
75.7,2.5,18.25,142.39,-116.25,26.01
75.75,2.51,19.08,143.21,-115.43,25.87
75.8,2.52,19.87,143.75,-114.91,25.7
75.85,2.51,20.79,144.25,-114.71,25.56
75.9,2.51,21.33,144.99,-114.62,25.48
75.95,2.5,21.22,145.86,-114.6,25.5
76,2.49,20.91,146.32,-114.72,25.7
76.05,2.49,20.03,146,-115.15,25.91
76.1,2.47,18.99,145.23,-115.92,25.98
76.15,2.46,17.8,144.53,-116.87,25.69
76.2,2.45,16.96,144.1,-117.79,25.29
76.25,2.45,15.95,143.74,-118.44,24.96
76.3,2.44,14.98,143.45,-118.61,24.79
76.35,2.43,14.39,143.23,-118.31,24.57
76.4,2.42,14.47,142.99,-117.63,24.2
76.45,2.42,14.77,142.72,-116.88,23.59
76.5,2.42,15.25,142.4,-116.21,22.76
76.55,2.42,16.2,142.15,-115.74,21.72
76.6,2.42,17.29,142.03,-115.38,20.49
76.65,2.43,18.1,141.96,-115.03,19.26
76.7,2.43,18.48,141.84,-114.59,18.26
76.75,2.43,18.72,141.57,-114,18.05
76.8,2.43,19.04,141.23,-113.2,18.8
76.85,2.43,19.15,140.84,-112.25,20.56
76.9,2.43,19.24,140.43,-111.35,23.04
76.95,2.43,18.48,140.05,-110.86,25.63
77,2.43,17.54,139.67,-110.99,28
77.05,2.42,16.4,139.34,-111.69,29.68
77.1,2.41,15.59,139.06,-112.59,30.93
77.15,2.4,15,138.89,-113.25,31.61
77.2,2.39,14.12,138.94,-113.35,31.84
77.25,2.38,13.22,139.27,-112.86,31.5
77.3,2.38,12.27,139.75,-111.94,30.74
77.35,2.38,11.7,139.95,-111.01,29.66
77.4,2.38,11.19,139.69,-110.42,28.37
77.45,2.38,10.78,139.05,-110.4,26.92
77.5,2.38,10.79,138.47,-110.96,25.38
77.55,2.38,11.32,138.1,-111.87,23.87
77.6,2.39,12.02,138,-112.87,22.7
77.65,2.39,13.07,137.86,-113.79,22.07
77.7,2.4,14.22,137.59,-114.56,22.05
77.75,2.41,15.46,137.15,-115.2,22.34
77.8,2.42,15.74,136.74,-115.76,22.83
77.85,2.42,16.44,136.4,-116.32,23.46
77.9,2.43,17.04,136.11,-116.89,24.2
