Den,Ng,Cal,SP,Res
2.49,5.08,126.04,-185.93,26.85
2.49,5.02,124.49,-186.46,27.62
2.48,5.42,124.71,-186.11,29.15
2.47,5.89,126.26,-185.07,31.34
2.47,6.46,126.26,-183.82,35
2.47,7.07,126.04,-182.92,39.65
2.47,7.71,125.6,-182.63,45.03
2.47,8.16,125.15,-182.93,49.55
2.47,8.37,124.71,-183.56,53.2
2.47,8.51,124.26,-184.24,55.58
2.46,8.78,123.6,-184.74,56.5
2.46,9.06,123.38,-184.98,55.48
2.45,9.57,123.15,-185.1,53.1
2.45,10.13,123.6,-185.34,50.09
2.46,10.34,123.82,-185.95,47.11
2.46,10.29,124.04,-187,43.97
2.46,10.13,124.04,-188.27,40.94
2.46,10.08,124.04,-189.28,38.2
2.45,10.64,123.38,-189.46,36.1
2.45,11.55,122.93,-188.7,34.81
2.45,12.64,122.49,-187.28,34.16
2.46,13.44,122.71,-186.02,33.88
2.46,14.22,123.15,-185.35,33.71
2.47,15.13,123.15,-185.44,33.69
2.47,15.87,123.6,-185.83,33.72
2.46,16,124.49,-186.17,33.6
2.47,15.57,125.82,-186.07,33.24
2.48,14.92,125.82,-185.53,32.87
2.49,14.7,125.6,-184.66,32.82
2.5,14.52,126.04,-183.84,33.03
2.49,14.64,126.71,-183.31,33.28
2.5,14.63,127.15,-183.27,33.44
2.49,14.86,127.37,-183.67,33.72
2.49,14.7,127.59,-184.39,34.16
2.49,14.51,127.59,-185.35,34.53
2.51,14.24,127.59,-186.42,34.57
2.52,14.35,128.26,-187.52,34.3
2.52,14.52,128.7,-188.37,33.99
2.52,14.77,128.93,-188.84,33.94
2.52,14.46,129.15,-188.66,34.21
2.53,13.85,128.7,-187.87,34.68
2.54,13.06,126.71,-186.5,35.02
2.55,12.58,124.93,-184.96,35.01
2.56,11.93,123.38,-183.66,34.55
2.56,11.7,122.27,-183.05,33.89
2.55,11.33,122.27,-183.15,33.37
2.54,11.41,122.27,-183.8,33.29
2.51,11.15,121.38,-184.54,33.69
2.48,11.11,120.05,-185.14,34.53
2.46,11.05,119.6,-185.47,35.58
2.44,11.43,119.6,-185.62,36.61
2.42,11.7,120.93,-185.59,37.42
2.41,12.03,122.49,-185.47,37.83
