Depth,Den,Ng,Cal,SP,Res
125.3,0,6.63,211.07,-557.22,15.81
125.35,0,6.65,210.84,-557.17,15.69
125.4,0,6.66,210.62,-557.12,15.56
125.45,0,6.46,210.4,-557.06,15.42
125.5,0,6.22,209.51,-557,15.26
125.55,0,6.14,208.18,-556.94,15.11
125.6,0,5.87,206.63,-556.87,14.98
125.65,0,5.6,206.18,-556.81,14.89
125.7,0,6.1,205.74,-556.75,14.75
125.75,0,6.74,205.29,-556.69,14.61
125.8,0,7.57,205.07,-556.63,14.46
125.85,0,7.66,205.07,-556.58,14.32
125.9,0,7.85,205.29,-556.52,14.22
125.95,0,8.3,205.74,-556.47,14.16
126,0,8.83,206.4,-556.41,14.16
126.05,0,9.43,207.74,-556.37,14.17
126.1,0,9.65,208.85,-556.34,14.13
126.15,0,9.82,210.4,-556.35,13.99
126.2,0,9.69,211.95,-556.38,13.74
126.25,0,9.5,212.84,-556.45,13.53
126.3,0,8.44,211.73,-556.53,13.48
126.35,0,7.39,210.4,-556.6,13.69
126.4,0,6.17,210.4,-556.66,14.17
126.45,0,6.11,210.84,-556.68,14.78
126.5,0,6.66,211.95,-556.66,15.4
126.55,0,7.15,212.84,-556.6,15.86
126.6,0,7.36,213.29,-556.5,16.11
126.65,0,7.1,214.17,-556.37,16.04
126.7,0,7.29,215.73,-556.22,15.7
126.75,0,7.48,219.28,-556.06,15.14
126.8,0,7.95,222.61,-555.9,14.5
126.85,0,8.49,225.05,-555.74,13.91
126.9,0,9.09,223.94,-555.6,13.45
126.95,0,9.92,221.94,-555.47,13.09
127,0,10.6,221.28,-555.35,12.8
127.05,0,11.3,220.83,-555.24,12.53
127.1,0,11.38,221.06,-555.15,12.27
127.15,0,11.54,221.5,-555.07,12.06
127.2,0,11.58,221.06,-555,11.9
127.25,0,11.62,220.83,-554.93,11.79
127.3,0,11.24,220.61,-554.88,11.67
127.35,0,10.77,221.94,-554.83,11.54
127.4,0,10.4,221.94,-554.8,11.42
127.45,0,10.24,220.61,-554.77,11.31
127.5,0,10.13,219.72,-554.75,11.23
127.55,0,10.07,221.28,-554.75,11.13
127.6,0,10.44,222.83,-554.74,11.06
127.65,0,10.7,223.28,-554.74,11.03
127.7,0,11.03,223.5,-554.74,11.06
127.75,0,10.95,225.72,-554.73,11.1
127.8,0,11.4,227.27,-554.73,11.14
127.85,0,11.87,223.28,-554.73,11.13
127.9,0,12.45,217.95,-554.75,11.08
127.95,0,12.46,212.62,-554.79,10.99
128,0,12.18,209.29,-554.86,10.9
128.05,0,11.73,204.85,-554.99,10.86
128.1,0,11.38,202.85,-555.17,10.9
128.15,0,10.62,200.63,-555.42,11.02
128.2,0,9.8,198.86,-555.74,11.22
128.25,0,9.09,198.19,-556.12,11.51
128.3,0,9.18,197.52,-556.54,12
128.35,0,9.45,197.08,-556.98,12.75
128.4,0,9.33,196.64,-557.41,13.83
128.45,0,8.96,196.41,-557.8,15.19
128.5,0,8.66,195.75,-558.14,16.61
128.55,0,8.72,195.3,-558.41,17.86
128.6,0,9.48,194.86,-558.62,18.71
128.65,0,10.24,194.42,-558.78,19.19
128.7,0,11.14,194.19,-558.9,19.36
128.75,0,11.48,194.19,-558.98,19.39
128.8,0,11.52,193.97,-559.03,19.35
128.85,0,11.4,193.97,-559.06,19.33
128.9,0,11.39,193.53,-559.07,19.33
128.95,0,11.76,193.31,-559.04,19.38
129,0,12.23,193.31,-559,19.43
129.05,0,12.6,193.31,-558.92,19.48
129.1,0,12.57,193.08,-558.82,19.49
129.15,0,11.83,193.08,-558.71,19.41
129.2,0,10.88,193.08,-558.58,19.2
129.25,0,9.54,193.08,-558.45,18.81
129.3,0,8.48,193.08,-558.32,18.31
129.35,0,7.41,193.53,-558.2,17.78
129.4,0,6.78,193.75,-558.09,17.27
129.45,0,5.84,194.19,-558,16.8
129.5,0,4.92,194.64,-557.94,16.38
129.55,0,3.75,195.08,-557.9,16.05
129.6,0,2.94,195.53,-557.87,15.83
129.65,0,2.14,195.97,-557.87,15.71
129.7,0,1.61,196.19,-557.86,15.67
129.75,0,1.35,196.41,-557.85,15.7
129.8,0,1.59,196.19,-557.83,15.82
129.85,0,1.99,196.19,-557.77,16.04
129.9,0,2.72,195.75,-557.67,16.32
129.95,0,3.14,195.75,-557.54,16.58
130,0,3.57,195.75,-557.38,16.67
130.05,0,3.94,195.75,-557.21,16.5
130.1,0,4.3,195.75,-557.04,16
130.15,0,4.65,195.75,-556.89,15.23
130.2,0,4.99,195.75,-556.75,14.43
130.25,0,5.33,195.08,-556.64,13.76
130.3,0,5.66,193.97,-556.54,13.39
130.35,0,5.8,193.31,-556.46,13.2
